airline_sentiment,sentiment_confidence,text,clean_text
positive,1.0,@SouthwestAir you're my early frontrunner for best airline! #oscars2016,you're my early frontrunner for best airline! #oscars2016
negative,1.0,@SouthwestAir luggage delivery between 1-4am? Really? After I was told by midnight multiple times? Why lie? Crazy and bad business.,luggage delivery between 1-4am? Really? After I was told by midnight multiple times? Why lie? Crazy and bad business.
positive,0.6593,@AmericanAir is rising like the sun at DCA this morning.  @NATCA members have the best view. #avgeek http://t.co/VAhdekVOKe,is rising like the sun at DCA this morning. members have the best view. #avgeek
neutral,1.0,"@JetBlue do they have to depart from Washington, D.C.??","do they have to depart from Washington, D.C.??"
negative,0.6625,@JetBlue I can probably find some of them. Are the ticket #s on there?,I can probably find some of them. Are the ticket #s on there?
neutral,0.6612,@united I would love if someone could get me back to Austin tonight and I do not wish to wait til tomorrow morning.,I would love if someone could get me back to Austin tonight and I do not wish to wait til tomorrow morning.
negative,1.0,@AmericanAir Why did I have to stand at baggage claim for an hour waiting for a bag that you knew never made it on to the plane?,Why did I have to stand at baggage claim for an hour waiting for a bag that you knew never made it on to the plane?
negative,1.0,@united this means within one week i will have filed 2 compensation complaints to your website,this means within one week i will have filed 2 compensation complaints to your website
negative,0.6442,@SouthwestAir darn! I bought it on the wrong device! No way to switch I'm sure?,darn! I bought it on the wrong device! No way to switch I'm sure?
neutral,1.0,"@JetBlue Flight 1447 (N351JB) ""JBLU"" arrives at @FlyTPA following flight from Westchester County Airport http://t.co/xX2M2jxQep","Flight 1447 (N351JB) ""JBLU"" arrives at following flight from Westchester County Airport"
negative,1.0,@USAirways I've been on hold to change a date on a ticket for over 3 hours. Can someone please assist me? Unacceptable.,I've been on hold to change a date on a ticket for over 3 hours. Can someone please assist me? Unacceptable.
neutral,1.0,@JetBlue Flight 136 departed Phoenix at 1:30 am,Flight 136 departed Phoenix at 1:30 am
positive,0.6543,@AmericanAir Thx! I hope so. IAH to DFW to OKC has turned out to be a LONG trip today and I have to work tomorrow.,Thx! I hope so. IAH to DFW to OKC has turned out to be a LONG trip today and I have to work tomorrow.
neutral,0.6535,@SouthwestAir it was 3472,it was 3472
negative,1.0,@AmericanAir 4th flight rebooked to is NOT Cancelled Flighted! Woo-hoo. Going to make it to @LaGuardiaAir,4th flight rebooked to is NOT Cancelled Flighted! Woo-hoo. Going to make it to
neutral,0.6584,@SouthwestAir do you have a pair of tickets to the @Imaginedragons show in Atlanta?! I'd love to go! #DestinationDragons,do you have a pair of tickets to the show in Atlanta?! I'd love to go! #DestinationDragons
negative,0.6864,@AmericanAir refund,refund
negative,1.0,"@USAirways I cant make it to airport, roads are to bad in DFW and no one is answering the phones and the website is down?How do I reschedule","I cant make it to airport, roads are to bad in DFW and no one is answering the phones and the website is down?How do I reschedule"
negative,1.0,@JetBlue now we dont have enough money for parking in your garage this is your fault and im not paying for what should be 10mins into 3hrs,now we dont have enough money for parking in your garage this is your fault and im not paying for what should be 10mins into 3hrs
negative,1.0,@sarahpompei don't bother wasting your time!  @USAirways will send u a form letter &amp; let u choose a gift certificate. #worstcustomerservice,don't bother wasting your time! will send u a form letter & let u choose a gift certificate. #worstcustomerservice
negative,1.0,@united once again your customer service rep was rude!   I asked a question and in turn got attitude.  Jane was no help.  Disgusted again!,once again your customer service rep was rude! I asked a question and in turn got attitude. Jane was no help. Disgusted again!
negative,0.6653,@USAirways that you would let us just switch to a different set of flights so we could spend time with the family after he passes away...,that you would let us just switch to a different set of flights so we could spend time with the family after he passes away...
positive,0.6768,"@JetBlue OK, thank you.","OK, thank you."
negative,1.0,@USAirways waited for 3 hours NO LUGGAGE line too long left airport when flight Cancelled Flighted WHERE does luggage GO? On hold for 1 hour so far,waited for 3 hours NO LUGGAGE line too long left airport when flight Cancelled Flighted WHERE does luggage GO? On hold for 1 hour so far
negative,1.0,@USAirways well that is not going to help. I'vebeen on hold over 3 hrs &amp; my client wants his ff nbr in the record he's elite wAA,well that is not going to help. I'vebeen on hold over 3 hrs & my client wants his ff nbr in the record he's elite wAA
positive,1.0,@SouthwestAir My Fav!!!!,My Fav!!!!
positive,0.6804,"@JetBlue we have just landed, thank you anyway. Btw, flight staff on flight 654 were wonderful despite their full day and heavy load.","we have just landed, thank you anyway. Btw, flight staff on flight 654 were wonderful despite their full day and heavy load."
neutral,0.6749,@USAirways I didn't make a reservation yet. It's about changing name on my dividend miles account,I didn't make a reservation yet. It's about changing name on my dividend miles account
negative,0.6641,@SouthwestAir- is new #MKT strategy to be average like all the rest? #whathappend? RR Points Devalued- AGAIN -http://t.co/mDbDYomrs7,- is new #MKT strategy to be average like all the rest? #whathappend? RR Points Devalued- AGAIN -
