airline_sentiment,sentiment_confidence,text,clean_text
positive,1.0,@SouthwestAir you're my early frontrunner for best airline! #oscars2016,early frontrunner best airline ! oscar
negative,1.0,@SouthwestAir luggage delivery between 1-4am? Really? After I was told by midnight multiple times? Why lie? Crazy and bad business.,luggage delivery ? really ? tell midnight multiple time ? lie ? crazy bad business
positive,0.6593,@AmericanAir is rising like the sun at DCA this morning.  @NATCA members have the best view. #avgeek http://t.co/VAhdekVOKe,rise like sun dca morning member best view avgeek
neutral,1.0,"@JetBlue do they have to depart from Washington, D.C.??",depart washington c ? ?
negative,0.6625,@JetBlue I can probably find some of them. Are the ticket #s on there?,probably find ticket ?
neutral,0.6612,@united I would love if someone could get me back to Austin tonight and I do not wish to wait til tomorrow morning.,would love someone could get back austin tonight do_not_wish wait til tomorrow morning
negative,1.0,@AmericanAir Why did I have to stand at baggage claim for an hour waiting for a bag that you knew never made it on to the plane?,stand baggage claim hour wait bag know never_made plane ?
negative,1.0,@united this means within one week i will have filed 2 compensation complaints to your website,mean within one week file compensation complaint website
negative,0.6442,@SouthwestAir darn! I bought it on the wrong device! No way to switch I'm sure?,darn ! buy wrong device ! no_way switch sure ?
neutral,1.0,"@JetBlue Flight 1447 (N351JB) ""JBLU"" arrives at @FlyTPA following flight from Westchester County Airport http://t.co/xX2M2jxQep",flight n jb jblu arrive follow flight westchester county airport
negative,1.0,@USAirways I've been on hold to change a date on a ticket for over 3 hours. Can someone please assist me? Unacceptable.,hold change date ticket over hour someone please assist ? unacceptable
neutral,1.0,@JetBlue Flight 136 departed Phoenix at 1:30 am,flight depart phoenix
positive,0.6543,@AmericanAir Thx! I hope so. IAH to DFW to OKC has turned out to be a LONG trip today and I have to work tomorrow.,thanks ! hope so iah dfw okc turn out long trip today work tomorrow
neutral,0.6535,@SouthwestAir it was 3472,
negative,1.0,@AmericanAir 4th flight rebooked to is NOT Cancelled Flighted! Woo-hoo. Going to make it to @LaGuardiaAir,th flight rebooked is_not_cancelled flighted ! woo hoo go make
neutral,0.6584,@SouthwestAir do you have a pair of tickets to the @Imaginedragons show in Atlanta?! I'd love to go! #DestinationDragons,pair ticket show atlanta ? ! would love go ! destinationdragons
negative,0.6864,@AmericanAir refund,refund
negative,1.0,"@USAirways I cant make it to airport, roads are to bad in DFW and no one is answering the phones and the website is down?How do I reschedule",cannot_make airport road bad dfw no_one answer phone website down ? reschedule
negative,1.0,@JetBlue now we dont have enough money for parking in your garage this is your fault and im not paying for what should be 10mins into 3hrs,do_not_have enough money park garage fault not_paying min hrs
negative,1.0,@sarahpompei don't bother wasting your time!  @USAirways will send u a form letter &amp; let u choose a gift certificate. #worstcustomerservice,do_not_bother waste time ! send form letter amp let choose gift certificate worstcustomerservice
negative,1.0,@united once again your customer service rep was rude!   I asked a question and in turn got attitude.  Jane was no help.  Disgusted again!,customer service rep rude ! ask question turn get attitude jane no_help disgust !
negative,0.6653,@USAirways that you would let us just switch to a different set of flights so we could spend time with the family after he passes away...,would let u switch different set flight so could spend time family pass away
positive,0.6768,"@JetBlue OK, thank you.",ok thank
negative,1.0,@USAirways waited for 3 hours NO LUGGAGE line too long left airport when flight Cancelled Flighted WHERE does luggage GO? On hold for 1 hour so far,waited hour no_luggage line too long left airport flight cancel flighted luggage go ? hold hour so far
negative,1.0,@USAirways well that is not going to help. I'vebeen on hold over 3 hrs &amp; my client wants his ff nbr in the record he's elite wAA,well is_not_going help vebeen hold over hrs amp client want ff nbr record elite waa
positive,1.0,@SouthwestAir My Fav!!!!,fav ! ! ! !
positive,0.6804,"@JetBlue we have just landed, thank you anyway. Btw, flight staff on flight 654 were wonderful despite their full day and heavy load.",land thank anyway way flight staff flight wonderful despite full day heavy load
neutral,0.6749,@USAirways I didn't make a reservation yet. It's about changing name on my dividend miles account,did_not_make reservation yet change name dividend mile account
negative,0.6641,@SouthwestAir- is new #MKT strategy to be average like all the rest? #whathappend? RR Points Devalued- AGAIN -http://t.co/mDbDYomrs7,new mkt strategy average like rest ? whathappend ? rr point devalue
negative,1.0,"@AmericanAir no hold times, just disconnections.   There is no excuse for that",no_hold time disconnection no_excuse
negative,1.0,@USAirways 'preciate it but cant get off plane to speak w agent / wont come on plane 5015 knoxville...?,preciate cannot_get off plane speak w agent will_not_come plane knoxville ?
negative,0.6753,@AmericanAir I know your policy. Just asking for a little kindness due to extenuating circumstances.,know policy ask little kindness due extenuating circumstance
neutral,1.0,"@VirginAmerica Anytime, sugafly.",anytime sugafly
neutral,0.698,@united refund?,refund ?
negative,1.0,"@AmericanAir You've misunderstood. @USAirways WOULD NOT do a same day flight change for me. The gate agent said, ""NO.""",misunderstood would_not_do day flight change gate agent say no
negative,1.0,"@JetBlue we saw one, he was as useless as the tsa agents who inspected my shoes",saw one useless tsa agent inspect shoe
negative,1.0,"@united And then when we asked the stewardess to take the disinfectant wipe as trash she said, ""not with my hands!"" #badservice",ask stewardess take disinfectant wipe trash say not_with hand ! badservice
negative,1.0,"@AmericanAir 4285. Apparently we’re told, staff on the ground keep promising to come and they don’t.",apparently told staff ground keep promise come not
positive,1.0,@JetBlue you're still the best,still best
negative,1.0,"@USAirways: I relied on US Airways, and that was my mistake. Awful customer experience.",rely u airway mistake awful customer experience
negative,0.667,@AmericanAir my flight to DFW from LIT on my way to PDX tomorrow was Cancelled Flighted. Can you help me?,flight dfw light way pdx tomorrow cancel flight help ?
negative,1.0,@united an over booked flight to start with and a red eye from lax to bos with no reclining seat.... #lastflightwithyouever,over booked flight start red eye lax bos no_reclining seat lastflightwithyouever
positive,1.0,"@AmericanAir LTALJX, from DCA to OMA this morning. All of the staff that helped me fix my problem were so helpful. #goodthingscome #thanks",ltaljx dca oma morning staff help fix problem so helpful goodthingscome thanks
negative,0.6854,@united just filled it out. Hope someone responds before we book our next trip.,fill out hope someone respond book next trip
neutral,1.0,@SouthwestAir traditionally used sledge hammer - low $ taking share from driving | now scalpel approach through data science  #ANAmarketers,traditionally use sledge hammer low take share drive scalpel approach data science anamarketers
positive,1.0,@SouthwestAir thanks for the info and the quick response!,thanks info quick response !
negative,1.0,"@AmericanAir that would be appreciated. Just please don't send me to the same page with long form &amp; limited characters.
Direct email?",would appreciate please do_not_send page long form amp limit character direct email ?
positive,1.0,@united @reebok @rockinwellness @ Denver International Airport https://t.co/tKVmHBkeC3,denver international airport
negative,0.6421,"@united I appreciate the immediate offer, but suspect it is more long-term issue/not simple fix. Also, ski/bootbag policy is awkward at best",appreciate immediate offer suspect long term issue not_simple fix also ski bootbag policy awkward best
negative,1.0,"@JetBlue flt1533 to Carta what is goin on?! 1st told plane coming from hangar, then gate change, now no one knows wat plane we're getting on",flt carta goin ? ! st tell plane come hangar gate change no_one know wat plane get
negative,1.0,@united should contact me and the others on my flight who can't get their website to work. None of our info is valid! http://t.co/3zpJr7kWbk,contact others flight cannot_get website work none info valid !
neutral,0.6627,"@SouthwestAir my father was kind enough to offer to pay for a hotel, but I can't use this coupon if he pays from FL. no help?",father kind enough offer pay hotel cannot_use coupon pay fl no_help ?
negative,0.662,@VirginAmerica The Flight Booking Problems section of your website seems to be broken on Chrome. Might wanna look into that.,flight book problem section website seem broken chrome might want look
negative,1.0,@AmericanAir ahhhh your silence is golden now.  This tops it all.  Anyone get fired?,ahhhh silence golden top anyone get fire ?
negative,1.0,@united FAIL You Cancelled Flightled our flight frm GJT and then used our reserv home to IAH (from SEA) for reFlight Booking Problems w/out OUR PERMISSION!! #PH6RPS,fail cancel flightled flight frm gjt use reserv home iah sea reflight book problem w out permission ! ! ph rps
positive,1.0,"@JetBlue Very excited, for the first time this Sunday, March 1 I get to fly #JetBlue flight 123 #Mint from JFK. Looking forward :-)",very excited first time sunday march get fly jetblue flight mint jfk look forward
positive,1.0,@united thank you. I flew into Newark from Vail/Eagle.,thank fly newark vail eagle
neutral,1.0,@AmericanAir what is the status of flight 1675 tomorrow,status flight tomorrow
neutral,1.0,@SouthwestAir https://t.co/OQUKSo3s2O subscribe please https://t.co/OQUKSo3s2O,subscribe please
neutral,1.0,@JetBlue flight 705. EWR to FLL,flight ewr fll
negative,1.0,@SouthwestAir I've been on hold with customer service for over an hour. Can you help?!,hold customer service over hour help ? !
negative,1.0,@united says @USAirways  is the final carrier . Us air doesnt have it. I want my bag!!! Not a claim not an im  sorry. I want my clothes!!,say final carrier u air does_not_have want bag ! ! ! not_a claim not_an sorry want clothes ! !
neutral,1.0,@JetBlue  Alright I hope. My JetBlue app is showing a change in my seats and online shows an a320.  Don't want any surprises,alright hope jetblue app show change seat online show do_not_want surprise
neutral,1.0,"@JetBlue No, it's weird!! I picked other cities just to test, those worked...not the one I want. Works on phone though, so I'll use that.",no_it weird ! ! picked city test work not_the one want work phone though so use
neutral,1.0,@JetBlue Can I bring a compact folding chair like this in a checked bag? http://t.co/9nivw9ftZw,bring compact fold chair like check bag ?
negative,1.0,"@JetBlue appreciate what you've done on your end to make this right, but still unhappy with initial incident. Will be calling.",appreciate do end make right still unhappy initial incident call
positive,0.663,Is expiring the @united offer to buy or transfer #United #MileagePlus miles with discount? Many offers during a year http://t.co/6tz6imqZlG,expire offer buy transfer united mileageplus mile discount ? many offer year
negative,1.0,@JetBlue - trying to fly from BOS to JFK. Flight delayed. Traveling with kids. Book a hotel or are we getting out tonight?,try fly bos jfk flight delay travel kid book hotel get out tonight ?
negative,0.657,@AmericanAir ok makes no sense tho Since you'll give me a free upgrade to first.,ok make no_sense though since give free upgrade first
neutral,1.0,@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/FVUdmh27pF @TheNationalUAE,atlantic plough lone furrow middleeast
